id,title,,categories:,lat,lng,description
115.1,"Extremadura, Cáceres, Aldea de Cano",2019-02-26,Remedios,,,
116.1,"Extremadura, Cáceres, Berrocalejo",2019-02-26,Remedios,,,
117.1,"Extremadura, Cáceres, Torrecilla de la Tiesa",2019-02-26,Remedios,,,
118.1,"Galicia, A Coruña, Valencia de Alcántara",2019-02-26,Remedios,,,
119.1,"Galicia, Lugo, Teijeiro (Curtis)",2019-02-26,Remedios,,,
120.1,"Galicia, Lugo, Mondoñedo",2019-02-26,Remedios,,,
121.1,"Galicia, Ourense, Sarria",2019-02-26,Remedios,,,
122.1,"Galicia, Ourense, Carballeria (Nogueira Ramuin)",2019-02-26,Remedios,,,
123.1,"Galicia, Ourense, Castro Caldelas",2019-02-26,Remedios,,,
124.1,"Galicia, Pontevedra, Villamayor del Valle (Verín)",2019-02-26,Remedios,,,
125.1,"Galicia, Ponteverde, Couso (Gondomar)",2019-02-26,Remedios,,,
126.1,"Galicia, Pontevedra, Lamas (Noceda)",2019-02-26,Remedios,,,
127.1,"Madrid, Ponteareas",2019-02-26,Remedios,,,
128.1,"Madrid, Alcorcón",2019-02-26,Remedios,,,
129.1,"Madrid, El Berrueco",2019-02-26,Remedios,,,
130.1,"Madrid, Cervera de Buitrago",2019-02-26,Remedios,,,
131.1,"Madrid, Colmenar Viejo",2019-02-26,Remedios,,,
132.1,"Murcia, Valdemaqued",2019-02-26,Remedios,,,
133.1,"Murcia, Albudeite",2019-02-26,Remedios,,,
134.1,"Murcia, Cañada de Trigo (Jumilla)",2019-02-26,Remedios,,,
135.1,"Murcia, Pliego",2019-02-26,Remedios,,,
136.1,"Murcia, Rincón de Beniscornia",2019-02-26,Remedios,,,
137.1,"Navarra, Torrealta de Molina",2019-02-26,Remedios,,,
138.1,"Navarra, Luquín",2019-02-26,Remedios,,,
139.1,"País Vasco, Álava, Tudela",2019-02-26,Remedios,,,
140.1,"País Vasco, Álava, Rivabellosa",2019-02-26,Remedios,,,
141.1,"La Rioja, Guipúzcoa",2019-02-26,Remedios,,,
142.1,"La Rioja , Cirueña",2019-02-26,Remedios,,,
143.1,"La Rioja, Tirgo",2019-02-26,Remedios,,,
144.1,"Valencia, Alicante",2019-02-26,Remedios,,,
145.1,"Valencia, Alicante, La Algueña",2019-02-26,Remedios,,,
146.1,"Valencia, Alicante, Alicante",2019-02-26,Remedios,,,
147.1,"Valencia, Alicante, Callosa de Ensarriá",2019-02-26,Remedios,,,
148.1,"Valencia, Alicante, Casas del Señor (Monóvar)",2019-02-26,Remedios,,,
149.1,Encebras- Alicante- Valencia,2019-02-26,Remedios,,,
150.1,Matanza (Orihuela)- Alicante- Valencia,2019-02-26,Remedios,,,
151.1,Monóvar- Alicante- Valencia,2019-02-26,Remedios,,,
152.1,Petrel- Alicante- Valencia,2019-02-26,Remedios,,,
153.1,Pinoso- Alicante- Valencia,2019-02-26,Remedios,,,
154.1,San Fulgencio- Castellón- Valencia,2019-02-26,Remedios,,,
155.1,Albadia- Valencia- Valencia,2019-02-26,Remedios,,,
156.1,Castellón de Rugat- Valencia- Valencia,2019-02-26,Remedios,,,
157.1,Chelva- Valencia- Valencia,2019-02-26,Remedios,,,
158.1,Fuente Encarroz- Valencia- Valencia,2019-02-26,Remedios,,,
159.1,Liria- Valencia- Valencia,2019-02-26,Remedios,,,
160.1,Navarrés- Valencia- Valencia,2019-02-26,Remedios,,,
161.1,Titagues- Valencia- Valencia,2019-02-26,Remedios,,,
162.1,Utiel- Valencia- Valencia,2019-02-26,Remedios,,,
163.1,El Toboso- Toledo,2019-02-26,Remedios,,church of san antonio abad,"39.510432, -2.997957"
